Country/Region,Afghanistan,Albania,Algeria,Andorra,Angola
3/11/2020,3,2,0,0,0
3/12/2020,0,11,4,0,0
3/13/2020,0,10,2,0,0
3/14/2020,3,5,11,0,0
3/15/2020,6,4,11,0,0
3/16/2020,5,9,6,1,0
3/17/2020,1,4,6,37,0
3/18/2020,0,4,14,0,0
3/19/2020,0,5,13,14,0
3/20/2020,-2,6,3,22,1
3/21/2020,0,6,49,13,1
3/22/2020,10,13,62,25,0
3/23/2020,6,15,29,20,1
3/24/2020,2,19,34,31,0
3/25/2020,32,23,38,24,0
3/26/2020,6,28,65,36,1
3/27/2020,11,12,42,43,0
3/28/2020,15,11,45,41,1
3/29/2020,8,15,57,26,2
3/30/2020,0,11,73,36,0
3/31/2020,52,20,132,6,0
4/1/2020,26,16,131,14,1
4/2/2020,43,18,139,38,0
4/3/2020,34,27,185,11,0
4/4/2020,1,29,80,27,2
4/5/2020,29,28,69,35,4
4/6/2020,38,16,103,24,2
4/7/2020,30,6,45,20,1
4/8/2020,56,17,104,19,2
4/9/2020,21,9,94,19,0
4/10/2020,77,7,95,18,0
4/11/2020,0,17,64,0,0
4/12/2020,34,13,89,37,0
4/13/2020,52,21,69,8,0
4/14/2020,58,8,87,13,0
4/15/2020,105,19,90,14,0
4/16/2020,24,24,108,0,0
4/17/2020,51,21,150,23,0
4/18/2020,63,9,116,8,5
4/19/2020,25,14,95,9,0
4/20/2020,63,22,89,4,0
4/21/2020,30,25,93,0,0
4/22/2020,66,25,99,6,1
4/23/2020,84,29,97,0,0
4/24/2020,50,15,120,8,0
4/25/2020,104,34,129,7,0
4/26/2020,133,14,126,0,1
4/27/2020,68,10,135,5,1
4/28/2020,172,14,132,0,0
4/29/2020,124,16,199,0,0
4/30/2020,0,7,158,2,0
5/1/2020,344,9,148,0,3
5/2/2020,298,7,141,2,5
5/3/2020,0,6,179,1,0
5/4/2020,0,8,174,2,0
5/5/2020,0,17,190,1,1
5/6/2020,755,12,159,0,0
5/7/2020,168,10,185,1,0
5/8/2020,171,8,187,0,7
5/9/2020,0,6,189,2,0
5/10/2020,839,12,165,1,2
5/11/2020,262,4,168,0,0
5/12/2020,303,4,176,3,0
5/13/2020,0,4,186,2,0
5/14/2020,372,18,189,1,3
5/15/2020,714,18,187,0,0
5/16/2020,349,17,192,0,0
5/17/2020,233,13,198,0,0
5/18/2020,437,2,182,0,2
5/19/2020,583,1,176,0,2
5/20/2020,490,15,165,1,0
5/21/2020,531,5,186,0,6
5/22/2020,540,12,190,0,2
5/23/2020,736,8,195,0,1
5/24/2020,716,9,193,0,8
5/25/2020,512,6,197,1,1
5/26/2020,737,25,194,0,0
5/27/2020,548,21,160,0,1
5/28/2020,637,26,140,0,3
5/29/2020,643,23,137,1,7
5/30/2020,784,23,133,0,3
5/31/2020,651,15,127,0,2
6/1/2020,656,6,119,1,0
6/2/2020,742,21,113,79,0
6/3/2020,775,20,107,7,0
6/4/2020,624,13,98,1,0
6/5/2020,1078,15,104,0,0
6/6/2020,582,20,115,0,2
6/7/2020,791,14,104,0,3
6/8/2020,575,17,111,0,1
6/9/2020,305,36,117,0,4
6/10/2020,920,42,102,0,17
6/11/2020,748,44,105,0,5
6/12/2020,656,31,109,1,12
6/13/2020,556,48,112,0,8
6/14/2020,664,57,109,0,2
6/15/2020,761,69,112,0,2
6/16/2020,106,82,116,1,6
6/17/2020,1241,50,121,0,7
6/18/2020,463,66,117,1,11
6/19/2020,541,50,119,0,6
6/20/2020,419,53,127,0,4
6/21/2020,536,71,140,0,7
6/22/2020,310,33,149,0,3
6/23/2020,338,52,156,0,3
6/24/2020,159,67,172,0,8
6/25/2020,535,78,197,0,15
6/26/2020,85,77,240,0,0
6/27/2020,356,61,283,0,47
6/28/2020,351,72,305,0,8
6/29/2020,271,64,298,0,9
6/30/2020,121,69,336,0,8
7/1/2020,403,45,365,0,7
7/2/2020,260,82,385,0,24
7/3/2020,302,90,413,0,13
7/4/2020,348,67,430,0,18
7/5/2020,279,74,441,0,0
7/6/2020,113,71,463,0,0
7/7/2020,320,74,475,0,40
7/8/2020,210,68,469,0,0
7/9/2020,59,82,460,0,10
7/10/2020,541,90,434,0,62
7/11/2020,157,93,470,0,4
7/12/2020,100,83,483,0,44
7/13/2020,4,117,494,3,19
7/14/2020,285,96,527,3,16
7/15/2020,200,85,554,1,35
7/16/2020,130,99,585,15,31
7/17/2020,159,55,593,3,31
7/18/2020,60,102,601,0,49
7/19/2020,186,82,535,0,18
7/20/2020,34,81,607,4,44
7/21/2020,106,119,587,0,30
7/22/2020,112,68,594,5,33
7/23/2020,188,108,612,0,39
7/24/2020,66,104,675,8,29
7/25/2020,55,67,605,0,36
7/26/2020,121,126,593,0,16
7/27/2020,106,117,616,10,18
7/28/2020,105,117,642,0,50
7/29/2020,103,108,614,11,78
7/30/2020,71,92,602,4,31
7/31/2020,0,79,563,3,39
8/1/2020,168,120,556,0,16
8/2/2020,0,123,515,0,35
8/3/2020,0,101,507,12,81
8/4/2020,37,130,532,2,64
8/5/2020,82,139,551,0,51
8/6/2020,67,127,571,5,88
8/7/2020,41,135,529,11,55
8/8/2020,78,124,538,0,34
8/9/2020,39,136,467,0,100
8/10/2020,0,125,552,8,7
8/11/2020,215,140,492,0,56
8/12/2020,76,141,495,14,27
8/13/2020,79,154,488,4,53
8/14/2020,7,146,477,8,37
8/15/2020,120,143,469,0,27
8/16/2020,45,120,450,0,27
8/17/2020,0,119,442,16,29
8/18/2020,3,155,419,0,31
8/19/2020,0,158,403,19,49
8/20/2020,160,155,411,0,29
8/21/2020,97,152,409,21,24
8/22/2020,38,156,401,0,66
8/23/2020,59,152,392,0,37
8/24/2020,46,178,398,15,51
8/25/2020,71,154,370,0,61
8/26/2020,43,168,391,38,49
8/27/2020,16,156,397,0,83
8/28/2020,11,112,387,26,56
8/29/2020,3,84,378,0,80
8/30/2020,0,101,365,0,73
8/31/2020,19,133,348,52,30
9/1/2020,34,93,339,8,75
9/2/2020,47,122,325,15,48
9/3/2020,45,116,311,0,28
9/4/2020,0,123,304,16,71
9/5/2020,16,135,298,0,59
9/6/2020,94,153,293,0,30
9/7/2020,96,151,289,46,16
9/8/2020,26,147,285,0,52
9/9/2020,24,151,278,40,59
9/10/2020,28,156,272,0,125
9/11/2020,34,161,264,43,62
9/12/2020,35,164,255,0,56
9/13/2020,75,168,247,0,53
9/14/2020,56,167,242,94,51
9/15/2020,43,152,238,0,130
9/16/2020,40,144,232,45,106
9/17/2020,17,132,228,0,114
